codigo.situr;RIF.x;codigo.proyecto_2016;Estado;Municipio;Parroquia;Entidad;Nombre.Proyecto_2016;Sub.Categoria;Fecha.Creacion;Fecha.Inicio;Monto_2016;Área_2016;Kg_Estimados_2016;Area_Efectiva_2016(FONDAS);Kg_Arrimado_2016(FONDAS);;;;;
07-10-03-001-0011;J299427055;CCO-16-06-06-00001;bolívar;sucre;guarataro;la tigrera 01;siembra integral de 50 hectareas de arroz para el fortalecimiento alimentario de las comunidad de la tigrera  ;cereales;25/02/2016;2017-01-25;4000000;50;175000;0;0;;;;;
08-02-0000;J404473521;COM-16-07-02-00002;carabobo;carlos arvelo;no urbana belén;comuna belen de la sierra (comuna belen de la sierra);siembra de leguminosa;leguminosas;19/03/2016;2016-05-11;2500000;120;420000;0;0;;;;;
08-02-0001;J405617454;COM-16-07-02-00001;carabobo;carlos arvelo;no urbana tacarigua;boqueron;plan de siembra de ceriales boquerón;cereales;19/03/2016;2016-04-27;6000000;150;525000;45;0;;;;;
08-02-0002;J405084677;COM-16-07-02-00004;carabobo;carlos arvelo;urbana güigüe;indio rangel;siembra de cultivo de maiz amarillo para consumo de la comuna indio rangel;cereales;28/03/2016;2016-05-11;6500000;65;227500;6;0;;;;;
08-02-03-001-0005;C299596876;CCO-16-07-02-00027;carabobo;carlos arvelo;no urbana tacarigua;las tinajas (sin nombre comercial);siembra de pimenton;hortalizas;28/04/2016;2016-12-07;46140530;54;20;70000;0;0;;;;
08-04-02-001-0010;C299626627;CCO-16-07-04-00001;carabobo;guacara;urbana guacara;el sisal (sin nombre comercial);mejoramiento de la capacidad productiva en 19ha; mediante el incremento de superficie de riego en cultivos del sector el sisal ;cereales;26/02/2016;2016-04-27;1500000;7;24500;0;0;;;;
08-06-01-001-0026;C299748846;CCO-16-07-14-00013;carabobo;libertador;urbana tocuyito;rural agricola el maizal (sin nombre comercial);cultivo de leguminosas;leguminosas;18/05/2016;2016-12-07;6396213;53;25;87500;0;0;;;;
08-06-01-001-0122;C299651338;CCO-16-07-14-00014;carabobo;libertador;urbana tocuyito;agrario 24 de junio (sin nombre comercial);plan de siembra de 105 ha. de caraotas;leguminosas;09/06/2016;2016-12-14;26864096;81;105;367500;0;0;;;;
08-14-09-003-0000;C299299820;CCO-16-07-09-00044;carabobo;valencia;no urbana negro primero;majaguito (sin nombre comercial);cria de ganado de doble proposito;cría y engorde de bovinos;11/05/2016;2016-06-15;45000000;NA;NA;0;0;;;;;
09-01-01-Q51-0000;J299413852;CCO-16-08-01-00023;cojedes;anzoátegui;cojedes;el estero (sin nombre comercial);proyecto socio productivo de siembre de leguminosa;leguminosas;17/11/2016;2016-12-27;124086542;39;485;1697500;0;0;;;;
09-01-02-001-0008;C299400025;CCO-16-08-01-00020;cojedes;anzoátegui;juan de mata suárez;puente onoto la mapora (sin nombre comercial);plan de siembra de cereales 2016;cereales;14/04/2016;2016-06-22;26260000;202;707000;81;0;;;;;
09-01-02-001-0019;J299662291;CCO-16-08-01-00022;cojedes;anzoátegui;juan de mata suárez;el pegon;siembra de leguminosas en el ámbito geográfico de la comuna juan de mata suarez;leguminosas;13/10/2016;2017-01-20;199659084;43;780;38;2731330;0;0;;;
09-02-01-001-0086;J299282022;CCO-16-08-02-00011;cojedes;falcón;tinaquillo;quinta republica (sin nombre comercial);impulsar el desarrollo endogeno a traves de la produccion de gallinas ponedoras; municipio tinaquillo estado cojedes;cría y engorde de aves de corral;25/02/2016;2016-12-23;5000000;NA;NA;0;0;;;;
09-02-01-052-0001;C298557826;CCO-16-08-02-00035;cojedes;falcón;tinaquillo;asentamiento campesino la llanera;impulsar el desarrollo endogeno a traves de siembra de leguminosa en el sector la llanera;tinaquillo cojedes;leguminosas;28/08/2016;2016-12-21;25000000;30;105000;0;0;;;;
09-03-02-008-0000;J299384461;CCO-16-08-03-00007;cojedes;girardot;sucre;chiverri (sin nombre comercial);siembra de leguminosas en el sector chiverri;leguminosas;25/10/2016;2016-12-23;122500000;350;1225000;0;0;;;;;
09-03-02-030-0000;J299214000;CCO-16-08-03-00008;cojedes;girardot;sucre;palmita i (sin nombre comercial);siembra de leguminosas en la comunidad de palmita i del municipio girardot;leguminosas;04/11/2016;2016-12-27;226100000;646;2261000;0;0;;;;;
09-03-02-S78-0000;C299625264;CCO-16-08-03-00006;cojedes;girardot;sucre;la batea (sin nombre comercial);plan de siembra de cereales;cereales;23/05/2016;2016-06-22;143000000;1100;3850000;729;660180;;;;;
09-04-01-001-0001;J299371939;CCO-16-08-08-00006;cojedes;lima blanco;macapo;barrio colling (sin nombre comercial);construccion de 1 unidad de produccion de hortalizas en la comunidad del colling macapo municipio lima blanco;hortalizas;26/02/2016;2016-05-04;3600000;12;42000;0;0;;;;;
